,x,y,condition,sample
MFL01,-39.33354871288042,36.57945495355804,Ctrl,MFL
MFL02,-36.475729772751876,39.756874443961586,Ctrl,MFL
MFL03,-15.072637976194736,21.7556019932929,Ctrl,MFL
MFL04,-28.593918194336737,32.68085863921874,Ctrl,MFL
MFN01,-23.159010425785798,-27.156364902037364,Ctrl,MFN
MFN02,-33.32276330202254,-31.84762979458752,Ctrl,MFN
MFN03,-49.01032924158376,-37.29337395054434,Ctrl,MFN
MFN04,-31.25003200797429,-29.501987434521205,Ctrl,MFN
MFPA01,60.18001095451546,-1.6357547269830417,Treated,MFPA
MFPA02,62.32862840626528,-1.9795123446290483,Treated,MFPA
MFPA03,78.27975256806066,0.37581252070372495,Treated,MFPA
MFPA04,55.42957770468877,-1.7339793974325202,Treated,MFPA
