,Term,Combined Score,Adjusted P-value
6,Homologous recombination,134.4318641018605,4.621733491289583e-05
0,NOD-like receptor signaling pathway,123.23934375690504,5.1210807715124416e-08
3,Viral protein interaction with cytokine and cytokine receptor,101.57689295005386,5.93794155062675e-06
2,Cell cycle,95.00788477141282,4.425773760945155e-06
1,Influenza A,90.95760881497198,1.534169319112567e-06
10,Fanconi anemia pathway,78.48229688537121,0.0003239628288960989
5,Measles,74.8219393729979,1.1949656963851052e-05
4,Coronavirus disease,62.68263841040465,6.4254680129597935e-06
7,Toll-like receptor signaling pathway,61.23419671622479,0.0001706115383213921
8,Hepatitis C,47.70520264860336,0.0001977744622975123
